time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-10T02:57:17.510Z,39.3293333,-122.8018333,14.45,5.09,mw,120,32,0.155,0.15,nc,nc72672610,2016-09-22T19:36:15.720Z,"20km NNE of Upper Lake, California",earthquake,0.12,0.21,,6,reviewed,nc,nc
2016-07-21T23:09:05.780Z,40.7243333,-123.8918333,26.24,4.73,mw,49,39,0.14,0.17,nc,nc72664436,2016-09-17T01:27:53.040Z,"19km SE of Bayside, California",earthquake,0.26,0.81,,5,reviewed,nc,nc
2016-07-07T23:40:45.777Z,38.6516,-118.7943,9.1,4.5,ml,28,50.51,0.196,0.1551,nn,nn00550904,2016-09-02T21:36:42.040Z,"20km NW of Hawthorne, Nevada",earthquake,0.74,1.2,0.34,14,reviewed,nn,nn
2016-06-10T08:04:38.700Z,33.4315,-116.4426667,12.31,5.19,mw,143,18,0.09275,0.23,ci,ci37374687,2016-10-08T22:52:17.885Z,"20km NNW of Borrego Springs, CA",earthquake,0.13,0.34,,6,reviewed,ci,ci
2016-02-24T00:02:23.630Z,35.5423333,-119.3728333,22.14,4.87,mw,84,37,0.295,0.29,ci,ci37528064,2016-10-01T05:16:31.586Z,"6km SSW of Wasco, CA",earthquake,0.24,0.65,,6,reviewed,ci,ci
2016-02-16T23:04:26.900Z,37.2023,-118.4035,15.1,4.8,Mw,52,104.4,0.1176793,0.07,nc,nc72592670,2016-06-13T18:58:11.000Z,"10km WNW of Big Pine, California",earthquake,0.3,0.6,,6,reviewed,nc,nc
2015-12-30T07:39:29.310Z,48.5865,-123.3003333,52.42,4.79,ml,27,81,0.1167,0.19,uw,uw61114971,2016-07-22T20:01:40.880Z,"17km NNE of Victoria, Canada",earthquake,0.43,0.67,0.137,178,reviewed,uw,uw
2015-12-29T03:35:28.390Z,41.0703333,-125.286,16.86,4.87,mw,53,240,0.8834,0.18,nc,nc72571010,2016-04-15T00:59:28.000Z,"98km WNW of Bayview, California",earthquake,1.18,3.39,,5,reviewed,nc,nc
2015-09-14T13:55:48.087Z,41.8594,-119.6271,9.7,4.7,ml,10,98.44,0.157,0.2669,nn,nn00510518,2016-02-04T20:13:17.000Z,"69km ESE of Lakeview, Oregon",earthquake,4.01,4.3,0.4,6,reviewed,nn,nn
2015-07-27T01:05:33.610Z,41.8875,-119.6226,10.72,4.55,ml,7,104.43,0.144,0.1857,nn,nn00503760,2015-10-22T20:05:02.040Z,"68km ESE of Lakeview, Oregon",earthquake,1.9182,2.416,0.33,6,reviewed,nn,nn
2015-07-16T01:52:11.994Z,41.8986,-119.6367,10.0819,4.61,ml,6,155.91,0.129,0.184,nn,nn00501944,2015-10-14T21:05:35.040Z,"66km ESE of Lakeview, Oregon",earthquake,3.653,5.8046,0.43,5,reviewed,nn,nn
2015-05-22T18:47:42.980Z,37.2925,-114.6546,4.0328,5.27,ml,32,109.36,0.335,0.159,nn,nn00495477,2016-03-11T21:18:19.687Z,"37km SSW of Caliente, Nevada",earthquake,2.5866,1.8631,0.22,11,reviewed,nn,nn
2015-02-14T02:28:56.228Z,37.1418,-117.2618,17.0047,4.8,ml,19,54.03,0.168,0.1919,nn,nn00482627,2016-03-11T15:19:59.098Z,"51km WNW of Beatty, Nevada",earthquake,1.7497,1.3063,,6,reviewed,nn,nn
